Exercise Name,Equipment,Mechanics,Preparation,Execution,Main_muscle,Difficulty (1-5),Secondary Muscles
Lateral Raise:  One Arm,Cable,Isolated,Grasp stirrup cable attachment. Stand facing with side of resting arm toward low pulley. Grasp ballet bar if available.,"With elbow slightly bent, raise arm to side away from low pulley until elbow is shoulder height. Lower and repeat.",Shoulder,2,"Lateral Deltoid, Supraspinatus"
Upright Row,Cable,Compound,Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to pulley.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Upper Trapezius"
Upright Row:  One Arm,Cable,Compound,"Grasp stirrup on low pulley with overhand grip. Stand with side of arm with stirup away from pulley machine, arm against front of body. Place other hand on ballet bar or side of pulley column for support.",Pull stirup to front side of shoulder with elbow leading. Allow wrist to flex as stirrup is lifted. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Upper Trapezius"
Upright Row:  with rope,Cable,Compound,"Grasp each side of rope with overhand grip, just under rope ends. Stand close to pulley.",Pull rope ends to front of shoulders with elbows leading. Allow wrists to flex as stirrups are lifted. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Upper Trapezius"
Y Raise,Cable,Isolated,"Stand facing between low pulleys medium width apart, grasp left stirrup with right hand and right stirrup with left hand. Step back slightly away from pulleys and stand upright with cables crossed in front of hips.","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.",Shoulder,3,"Posterior Deltoid, Lower Trapezius"
Incline Lateral Raise,Dumbbell,Isolated,"Grasp dumbbell in one hand. Lie on 30° to 45° incline bench with opposite side of body on incline, arm over top of bench, lower leg positioned on front side of seat, and upper leg on back side of seat. Position dumbbell inside of lower leg, just in front of upper leg.","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.",Shoulder,3,"Lateral Deltoid, Supraspinatus"
Lateral Raise,Dumbbell,Isolated,Grasp dumbbells in front of thighs with elbows slightly bent. Bend over slightly with hips and knees bent slightly.,Raise upper arms to sides until slightly bent elbows are shoulder height while maintaining elbows' height above or equal to wrists. Lower and repeat.,Shoulder,2,"Lateral Deltoid, Supraspinatus"
Upright Row,Dumbbell,Compound,Grasp dumbbells and stand with palms facing front of thighs.,Pull dumbbells to front of shoulder with elbows leading out to sides. Allow wrists to flex as dumbbells rise upward. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Upper Trapezius"
Upright Row:  One Arm,Dumbbell,Compound,Grasp dumbbells with palms facing front of thighs. Position other hand for support.,Pull dumbbell to front of shoulder with elbow leading. Allow wrist to flex as dumbbell rises upward. Lower and repeat. Continue with opposite arm.,Shoulder,3,"Lateral Deltoid, Upper Trapezius"
Lateral Raise,Lever (plate loaded),Isolated,Sit in machine. Situate bent arms between padded lever and sides of body.,Raise arms to sides until upper arms are horizontal. Return and repeat.,Shoulder,2,"Lateral Deltoid, Supraspinatus"
Lateral Raise,Lever (selectorized),Isolated,Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.,Raise arms to sides until upper arms are horizontal. Return and repeat.,Shoulder,2,"Lateral Deltoid, Supraspinatus"
Lateral Raise:  other machine,Lever (selectorized),Isolated,Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.,Raise arms to sides until upper arms are horizontal. Return and repeat.,Shoulder,2,"Lateral Deltoid, Supraspinatus"
Upright Row​​​​​​​,Smith,Compound,Stand behind bar mid-thigh height. Grasp bar with shoulder width or slightly narrower overhand grip. Disengage bar by rotating bar back and stand upright.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Upper Trapezius"
Y Raise,Suspended,Isolated,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle hanging from handles with arms straight and palms angled inward.",Raise arms upward and outward in shape of a Y while keeping arms straight. Return and lower body back in opposite motion until arms are extended straight forward in original position. Repeat.,Shoulder,3,"Posterior Deltoid, Lower Trapezius"
Rear Delt Row,Barbell,Compound,"Bend knees slightly and bend over bar with back straight, approximately horizontal. Grasp bar with wide overhand grip.","Keeping upper arm perpendicular to torso, pull barbell up toward upper chest until upper arms are just beyond horizontal. Return and repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Reverse Fly,Cable,Isolated,Stand facing twin pulley cables positioned close together and approximately shoulder height. Grasp stirrup cable attachment in each hand. Step back away from machine so cable is taut. Stand with feet staggered. Point elbows outward with arms straight or slightly bent.,"Pull stirrups out to sides, maintaining stiff elbow position throughout exercise. Return to original position and repeat.",Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Rear Delt Row,Cable,Compound,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With elbow width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment toward upper chest, just below neck, with elbows up out to sides until elbows travel slightly behind back. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Rear Delt Row:  Standing Rear Delt Row (stirrups),Cable,Compound,Stand facing twin pulley cables positioned shoulder height. Grasp stirrup cable attachment in each hand. Step back with one foot so arms and shoulders are positioned straight forward with cable taut. Point elbows outward.,"Pull stirrups out to sides, keeping elbows at shoulder height until elbows travel slightly behind back. Allow wrists to follow elbows. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Rear Lateral Raise,Cable,Isolated,"Stand with cable columns to each side. Grasp left stirrup with right hand and right stirrup with left hand. Bend knees and bend over at hips, so torso is approximately horizontal with back straight. Point elbows outward with arms slightly bent.",Raise upper arms to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and slight bend in elbows as arms are raised to sides. Lower and repeat.,Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Rear Lateral Raise,Dumbbell,Isolated,"Grasp dumbbells to each side. Bend knees and bend over through hips with back flat, close to horizontal. Position elbows with slight bend and palms facing together.","Raise upper arms to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and fixed elbow position (10° to 30° angle) throughout exercise. Maintain height of elbows above wrists by raising ""pinkie finger"" side up. Lower and repeat.",Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Rear Delt Row,Dumbbell,Compound,Kneel over side of bench with arm and leg to side. Grasp dumbbell.,Pull dumbbell up out to side with upper arm perpendicular to trunk until upper arm is just beyond horizontal. Lower and repeat.,Shoulder,3,"Posterior Deltoid, Rhomboids"
Seated Rear Lateral Raise,Dumbbell,Isolated,Sit on edge of bench with feet placed beyond knees. Bend over and rest torso on thighs. Grasp dumbbells with each hand under legs. Position elbows with slight bend with palms facing together behind ankles (as shown) or just to sides of ankles.,"Raise upper arms to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and fixed elbow position (10° to 30° angle) throughout exercise. Maintain elbows height above wrists by raising ""pinkie finger"" side up. Lower and repeat.",Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Lying Rear Lateral Raise,Lever (plate loaded),Isolated,Lie on machine with chest against padding. Position arms between padded lever arms with elbows below shoulders.,Pull arms up until elbows are beyond back. Return and repeat.,Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Seated Rear Delt Row,Lever (plate loaded),Compound,Place seat at low position. Sit on seat with chest against pad and grasp upper handles.,"Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Seated Rear Delt Row:  alternative machine,Lever (plate loaded),Compound,Place seat at low position. Sit on seat with chest against pad and grasp upper handles.,"Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Lying Rear Lateral Raise,Lever (selectorized),Isolated,Lie on machine with chest against padding. Position arms between padded lever arms with elbows below shoulders.,Pull arms up until elbows are beyond back. Lower and repeat.,Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Seated Rear Delt Row,Lever (selectorized),Compound,Place seat at low position. Sit on seat with chest against pad and grasp upper handles.,"Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Seated Reverse Fly,Lever (selectorized),Isolated,Sit on machine with chest against pad. Grasp parallel handles with thumbs up at shoulder height. Slightly bend elbows and internally rotate shoulders so elbows are also at height of shoulders.,"Keeping elbows pointed high, pull handles apart and to rear until elbows are just behind back. Return and repeat.",Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Seated Reverse Fly:  pronated grip,Lever (selectorized),Isolated,Sit in machine with chest against pad. Grasp parallel handles from inside with thumbs down at shoulder height.,"Keeping elbows pointed high, pull handles apart and to rear until elbows are just behind back. Return and repeat.",Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Rear Delt Row,Smith,Compound,Stand near low smith bar. Bend knees and bend over bar with back straight. Grasp bar with wide   overhand grip. Disengage bar by rotating bar back.,"Keeping upper arm perpendicular to torso, pull bar up toward upper chest until upper arms are just beyond parallel to floor. Return and repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Rear Delt Inverted Row (high bar),Body Weight,Compound,"Stand facing horizontal bar positioned lower to upper chest height. Step toward bar so chest makes contact. Grasp bar with wide overhand grip. Raise elbows up to shoulder height. Place feet forward on floor so body is reclined back with legs, hips and spine straight.","Lower body while keeping body straight, elbows high, and upper arms perpendicular to torso, until arms are extended straight. Pull shoulders toward bar while keeping elbows up high until upper arms are parallel to one another, or just beyond. Repeat.",Shoulder,4,"Posterior Deltoid, Latissimus Dorsi"
Rear Delt Inverted Row (on hips),Body Weight,Compound,Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip. Turn elbows outward to sides.,"Keeping hips on floor, low back straight, and elbow pointed out to sides; pull torso up to bar. Return when upper arms are just beyond parallel to one another. Lower body downward until arms are extended straight. Return and repeat.",Shoulder,4,"Posterior Deltoid, Latissimus Dorsi"
Rear Delt Row,Suspended,Compound,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles.Position body and legs straight at desired angle hanging from handles with arms straight. Internally rotate shoulders so elbows are positioned directly outwards.","Pull body up while keeping elbows pointed directly out to each side and body and legs straight. Pull until elbows are directly lateral to each side without allowing elbows to drop. Return until arms are extended straight and shoulders are stretched forward, maintaining high elbow position. Repeat.",Shoulder,3,"Posterior Deltoid, Rhomboids"
Reverse Fly,Suspended,Compound,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle hanging from handles with arms straight. Internally rotate shoulders so elbows are positioned directly outwards with arms straight or slightly bent. Shoulder should be positioned approximately 90° relative to torso position.",Pull handles out to sides while keeping stiff elbow position and maintaining shoulder at 90° plane to torso throughout exercise. Raise up until upper arms are in-line to one another. Return to original position in same plane and repeat.,Shoulder,2,"Posterior Deltoid, Middle Trapezius"
Front Lateral Raise,Cable,Isolated,Grasp dumbbell cable attachment. Stand facing side with resting arm toward low pulley. Grasp ballet bar if available for support. Internally rotate shoulders so elbows point out to sides.,"With elbow straight or slightly bent, raise upper arm away from low pulley to side, slightly to front (30°) until upper arm is shoulder height. Lower and repeat. Continue with opposite arm.",Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Front Lateral Raise,Dumbbell,Isolated,Grasp dumbbell and position in front of thigh with arm straight. Turn pinkie finger side outward.,"Raise arms to side, slightly to front until shoulder height or slightly higher. Lower and repeat. Continue with opposite arm.",Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Full Can Lateral Raise,Dumbbell,Isolated,Grasp dumbbells with each hand with palms facing forward.,Raise arms to side with thumb side up. Lower and repeat.,Shoulder,2,"Lateral Deltoid, Supraspinatus"
Lying Lateral Raise,Dumbbell,Isolated,Lie on side with legs separated for support. Grasp dumbbell in front of thigh.,Raise dumbbell from floor until arm is vertical. Maintain fixed elbow position (10° to 30° angle) throughout exercise. Lower and repeat.,Shoulder,2,"Lateral Deltoid, Supraspinatus"
Triceps Dip,Assisted,Compound,"Mountshoulder width dip bar, arms straight with shoulders above hands. Step down onto assistance lever. Keep hips and knees straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Triceps,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Dip:  kneeling,Assisted,Compound,"Mountshoulder width dip bar, arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Triceps,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Close Grip Bench Press,Barbell,Compound,Lie on bench and grasp barbell from rack with shoulder width grip.,Lower weight to chest with elbows close to body. Push barbell back up until arms are straight. Repeat.,Triceps,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Lying Triceps Extension,Barbell,Isolated,Lie on bench with narrow overhand grip on barbell. Position barbell over forehead with arms extended.,"Lower bar by bending elbows. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head, reposition elbows to their former position until arms are fully extended. Repeat.",Triceps,3,Anterior Deltoid
Lying Triceps Extension:  Skull Crusher,Barbell,Isolated,Lie on bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.,Lower bar to forehead by bending elbows. Extend arms and repeat.,Triceps,3,Anterior Deltoid
Triceps Extension,Barbell,Isolated,Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,Triceps,2,Posterior Deltoid
Bent-over Triceps Extension,Cable,Isolated,Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,Triceps,2,Posterior Deltoid
Pushdown,Cable,Isolated,Face high pulley and grasp cable attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Triceps,2,Anterior Deltoid
Pushdown:  One Arm,Cable,Isolated,Grasp dumbbell cable attachment with underhand grip. Position elbow to side.,Extend arm down. Return until forearm is close to upper arm. Repeat. Continue with opposite arm.,Triceps,2,Anterior Deltoid
Pushdown:  with back support,Cable,Isolated,Place back against vertical back support. Grasp cable attachment from high pulley with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Triceps,2,Anterior Deltoid
Pushdown:  with V-bar attachment,Cable,Isolated,Face high pulley and grasp V-bar attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Triceps,2,Anterior Deltoid
Triceps Dip,Cable,Compound,"Step betweenshoulder width dip barswith dip belt around waist. Kneel as close to low pulley and attach cable to dip belt. Stand up and mount dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body by bending arms until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Triceps,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Extension,Cable,Isolated,Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows overhead.,Raise cable bar overhead by extending elbows until arms are positioned straight and vertical. Lower cable bar behind neck by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Repeat.,Triceps,2,Posterior Deltoid
Triceps Extension:  with rope,Cable,Isolated,"From low pulley cable, grasp ends of rope attachment just under enlarged ends. Raise one arm over head while turning body away from pulley. Face away from pulley with feet staggered. Position ends of ropes behind head or neck and elbows upward over head.",Raise ends of rope overhead by extending forearms until arms are straight. Lower rope attachment until forearms are against upper arms. Repeat.,Triceps,2,Posterior Deltoid
Kickback,Dumbbell,Isolated,Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor.,Extend arm until it is straight. Return and repeat. Continue with opposite arm.,Triceps,2,Posterior Deltoid
Lying Triceps Extension,Dumbbell,Isolated,Lie on bench and position dumbbells over head with arms extended.,Lower dumbbells by bending elbow until they are to sides of head. Extend arm. Repeat.,Triceps,3,Anterior Deltoid
One Arm Triceps Extension (on bench),Dumbbell,Isolated,Position dumbbell behind neck with elbow positioned upward.,Extend arm until straight while maintaining upper arm's vertical position throughout exercise. Return until dumbbell is behind neck or shoulder and repeat. Continue with opposite arm.,Triceps,2,Posterior Deltoid
Triceps Extension,Dumbbell,Isolated,Position one dumbbell over head with both hands under inner plate (heart shaped grip).,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.",Triceps,2,Posterior Deltoid
Close Grip Bench Press,Lever (plate loaded),Compound,Lie on bench with lever handles above sides of chest. Grasp handles with narrow overhand grip just above each side of chest.,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.",Triceps,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Extension,Lever (plate loaded),Isolated,"Sit on seat. Place forearms on lever pad and back of upper arms, parallel on padding with elbows in line with lever's fulcrum.",Push lever down until arms are fully extended. Return and repeat.,Triceps,2,Posterior Deltoid
Triceps Dip,Lever (plate loaded),Compound,"Sit upright on seat. If possible, place handles in narrow position. Grasp handles.",Push levers down with elbows pointing back. Allow lever bar to raise until shoulders are slightly stretched. Repeat.,Triceps,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Dip,Lever (selectorized),Compound,"If possible, place handles in narrow position. Sit on seat with back against pad. Grasp handles and position elbows back.",Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.,Triceps,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Dip:  alternative machine,Lever (selectorized),Compound,"If possible, place handles in narrow position. Sit on seat with legs under pads. Grasp handles and position elbows back.",Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.,Triceps,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Extension,Lever (selectorized),Isolated,Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.,Push lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,Triceps,2,Posterior Deltoid
Triceps Extension:  with preacher pad New!,Lever (selectorized),Isolated,Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.,Push lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,Triceps,3,Anterior Deltoid
Standing Triceps Dip,Sled,Isolated,Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.,Push lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,Triceps,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Close Grip Bench Press,Smith,Compound,Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.,Lower weight to chest with elbows close to body. Push bar back up until arms are straight. Repeat.,Triceps,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Bench Dip,Weighted,Compound,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. Have assistant place weight on lap near hips.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.",Triceps,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Dip,Weighted,Compound,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Triceps,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
Triceps Dip,Band-assisted,Compound,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Triceps,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid"
